id,type_de_bien,année,nb_de_pieces,surface,ville,prix
324,maison,7,5,220, LANDIRAS,475000
325,maison,1998,9,262, MIOS,535000
326,appartement,2020,2,47, BRUGES,203000
327,appartement,2021,2,45, BORDEAUX,228000
328,maison,1097,7,130, GAJAC,208200
329,maison,2009,4,109, ANDERNOS LES BAINS,845000
330,appartement,1960,5,108, BORDEAUX,430000
331,maison,7,5,194, LA TESTE DE BUCH,507000
332,maison,1978,4,105, ARCACHON,760000
333,maison,1978,5,200, FARGUES ST HILAIRE,624000
334,maison,2010,6,112, LUSSAC,193000
335,maison,5,3,105, LANGON,189500
336,maison,5,4,138, ST GERMAIN DU PUCH,297000
337,appartement,1982,2,48, BORDEAUX,185500
338,maison,2016,7,212, LA TESTE DE BUCH,998000
339,maison,7,5,170, LARUSCADE,297000
340,maison,6,4,320, PRIGNAC ET MARCAMPS,698250
341,appartement,3,2,64, VILLENAVE D ORNON,230000
342,appartement,4,3,79, VILLENAVE D ORNON,280000
343,appartement,1975,2,38, ARCACHON,360400
344,maison,2019,4,100, LIBOURNE,327000
345,maison,1988,6,140, CENON,350000
346,appartement,1,1,39, BRUGES,164000
347,maison,6,4,125, SAUVETERRE DE GUYENNE,97000
348,maison,4,3,163, LE HAILLAN,592800
349,maison,2006,6,209, ST MEDARD EN JALLES,895000
350,maison,1811,7,190, LA REOLE,265900
351,maison,2,1,67, SOULAC SUR MER,90000
352,maison,4,3,99, LANGON,199000
353,maison,5,4,100, CAMIRAN,185000
354,maison,2008,5,137, COUQUEQUES,214000
355,appartement,2,1,35, ARCACHON,232000
356,appartement,4,2,104, BORDEAUX,493000
357,appartement,2010,3,57, GUJAN MESTRAS,190000
358,maison,1920,4,99, BORDEAUX,544000
359,appartement,3,2,75, BORDEAUX,285000
360,maison,7,5,241, STE EULALIE,719250
361,maison,1900,4,98, FRONSAC,164000
362,appartement,4,3,90, LACANAU OCEAN                   ,341000
363,maison,1850,8,212, ST PIERRE DE MONS,379000
364,maison,1980,3,93, LEGE CAP FERRET,575000
365,maison,7,5,270, LIBOURNE,871500
366,maison,1880,8,290, BLAYE,297000
367,maison,7,5,160, GORNAC,190000
368,maison,1780,7,250, ST EMILION,449000
369,maison,1900,8,260, ST EMILION,368000
370,maison,4,3,206, VILLENAVE D ORNON,572000
371,maison,1992,4,115, SALLES,127200
372,maison,1965,6,141, BORDEAUX,1155000
373,appartement,5,4,110, GRADIGNAN,349500
374,appartement,4,2,72, MERIGNAC,193500
375,appartement,5,4,88, CENON,191500
376,maison,6,4,150, LEOGNAN,495000
377,maison,6,4,150, LEOGNAN,438000
378,appartement,2022,2,40, BIGANOS,167000
379,appartement,2022,3,62, BIGANOS,227000
380,appartement,2022,1,29, BIGANOS,138000
381,appartement,2022,2,41, BIGANOS,174000
382,maison,5,4,155, BORDEAUX,790400
383,maison,1900,3,89, ST ESTEPHE,108300
384,appartement,1900,4,79, BRANNE,155000
385,appartement,2,1,42, BORDEAUX,214500
386,maison,5,4,135, BORDEAUX,714000
387,maison,1980,1,21, LACANAU OCEAN                   ,98000
388,maison,2005,6,115, LACANAU OCEAN                   ,634000
389,appartement,5,3,145, BORDEAUX,490000
390,appartement,1850,4,132, BORDEAUX,669000
391,maison,1850,3,63, LANGON,115000
392,maison,2007,5,178, MIOS,474000
393,maison,4,2,80, ST DENIS DE PILE,133750
394,maison,2017,4,95, LA TESTE DE BUCH,439000
395,appartement,2,1,41, CARCANS,135500
396,appartement,2,1,47, BORDEAUX,180000
397,maison,1970,6,151, LATRESNE,434600
398,maison,1850,4,220, LANGON,140000
399,maison,5,4,124, STE FOY LA GRANDE,58000
400,maison,4,3,110, PAILLET,179500
401,appartement,3,1,55, CENON,165000
402,maison,1998,6,243, GUJAN MESTRAS,987000
403,appartement,2014,2,45, MERIGNAC,209000
404,maison,2013,5,175, LE PIAN MEDOC,549990
405,maison,2010,4,84, BIGANOS,285000
406,maison,1970,6,130, ST SEURIN SUR L ISLE,120000
407,maison,18,8,820, BORDEAUX,2080000
408,maison,2017,5,200, MIOS,684750
409,appartement,2008,2,32, CAMBES,97600
410,maison,1920,4,103, CENON,274000
411,appartement,1900,2,58, BORDEAUX,279000
412,maison,4,2,320, LIBOURNE,625000
413,maison,2018,7,278, ANDERNOS LES BAINS,1299000
414,appartement,2022,5,161, BORDEAUX,1190000
415,appartement,2019,2,44, VILLENAVE D ORNON,173000
416,appartement,3,2,65, BORDEAUX,239000
417,appartement,2,1,47, ARES,171000
418,maison,1900,7,261, ARCACHON,2600000
419,maison,1946,13,243, VILLENAVE D ORNON,728000
420,appartement,1969,3,62, ARCACHON,488000
421,maison,1900,3,72, BORDEAUX,378000
422,maison,4,2,110, PUGNAC,344500
423,appartement,2018,2,40, ARCACHON,205000
424,appartement,1990,6,222, BORDEAUX,1490000
425,maison,7,3,238, LAMOTHE LANDERRON,225000
426,maison,2,1,55, COUTRAS,102500
427,maison,6,5,165, LA SAUVE,299000
428,maison,7,4,157, BORDEAUX,770000
429,maison,6,4,120, LA TESTE DE BUCH,373000
430,appartement,1970,3,40, ARCACHON,355000
431,maison,1850,7,208, BRUGES,936000
432,appartement,1980,1,38, BORDEAUX,102600
433,appartement,2,1,55, BORDEAUX,128900
434,appartement,1980,1,35, BORDEAUX,91800
435,maison,5,3,170, ST SULPICE ET CAMEYRAC,525000
436,appartement,2,1,45, CENON,128500
437,maison,1962,6,162, LE TAILLAN MEDOC,434500
438,maison,1997,7,205, LA REOLE,358000
439,maison,6,3,145, SAUVETERRE DE GUYENNE,256000
440,maison,6,3,145, LANGON,256000
441,appartement,5,3,133, ARCACHON,610000
442,maison,1976,4,100, LIBOURNE,214000
443,maison,4,3,112, RAUZAN,160000
444,maison,4,3,105, ST JEAN DE BLAIGNAC,149500
445,maison,5,4,128, LEGE CAP FERRET,1047900
446,maison,5,4,108, ST VIVIEN DE MEDOC,60000
447,maison,1900,5,85, LANTON,322000
448,maison,1970,6,185, LESPARRE MEDOC,367200
449,maison,2014,6,155, LIBOURNE,355000
450,maison,6,4,180, BORDEAUX,735000
451,maison,5,4,164, JAU DIGNAC ET LOIRAC,289950
452,appartement,3,2,60, BELIN BELIET,200000
453,appartement,1900,3,78, BORDEAUX,399000
454,maison,1950,7,162, BORDEAUX,898000
455,maison,1959,7,190, LA TESTE DE BUCH,1345500
456,appartement,2019,4,92, BLANQUEFORT,337000
457,maison,1949,8,213, BRANNE,235000
458,appartement,2,1,55, ARES,196000
459,maison,1970,6,220, ST AUBIN DE MEDOC,500000
460,maison,2009,4,115, LANGON,273685
461,maison,2019,5,81, LEGE CAP FERRET,498000
462,appartement,3,2,73, LACANAU OCEAN                   ,237000
463,appartement,2,1,55, LACANAU OCEAN                   ,165000
464,maison,1850,5,129, LANGON,181000
465,maison,9,5,240, BELIN BELIET,430000
466,appartement,1980,3,55, ARCACHON,360000
467,appartement,3,2,61, PAREMPUYRE,195000
468,maison,2,3,108, SALLES,211000
469,maison,3,2,92, LANGON,142000
470,maison,1922,7,186, MIOS,789000
471,appartement,1980,3,71, LA TESTE DE BUCH,592800
472,maison,4,2,120, CASTILLON LA BATAILLE,64000
473,maison,4,2,230, RUCH,228000
474,maison,6,4,117, ST LOUBES,339000
475,maison,8,5,280, SALLES,1195450
476,maison,1885,3,55, MACAU,118000
477,appartement,2010,2,43, LA TESTE DE BUCH,220000
478,appartement,1900,3,92, BORDEAUX,599000
479,appartement,3,2,69, MERIGNAC,405000
480,appartement,1,1,23, ST MEDARD EN JALLES,118800
481,maison,5,4,111, ST ANDRE DE CUBZAC,270500
482,appartement,4,3,87, ARCACHON,299000
483,maison,6,4,123, LA TESTE DE BUCH,538000
484,maison,5,3,200, LACANAU,750000
485,maison,5,4,125, PYLA SUR MER,995000
486,maison,1750,12,300, FRONSAC,349800
487,maison,1950,2,30, AUROS,45000
488,maison,1979,4,77, LANGON,158000
489,appartement,2009,2,32, CAMBES,87000
490,maison,2013,4,114, LEGE CAP FERRET,558900
491,appartement,4,3,90, BORDEAUX,338000
492,maison,4,2,60, VILLENAVE D ORNON,438500
493,maison,5,3,125, CESTAS,475500
494,maison,5,4,143, GAZINET                         ,496500
495,maison,6,4,126, LATRESNE,360000
496,maison,5,3,150, SALLEBOEUF,381000
497,maison,3,2,136, PEUJARD,171000
498,maison,4,3,90, ST ANDRE DE CUBZAC,249500
499,appartement,3,2,64, ARCACHON,349500
500,maison,5,4,100, ARCACHON,651000
501,maison,4,3,80, LE BOUSCAT,475500
502,appartement,5,4,139, BORDEAUX,661500
503,maison,9,5,480, ST VINCENT DE PAUL,475500
504,maison,4,3,170, YVRAC,528000
505,maison,3,2,67, EYSINES,310000
506,appartement,4,3,90, TALENCE,407900
507,maison,6,3,125, BEGLES,486000
508,appartement,2,1,43, COUTRAS,66400
509,appartement,3,2,67, BORDEAUX,265000
510,maison,1988,6,145, SALLES,399000
511,maison,1970,8,186, HOSTENS,449000
512,appartement,2009,3,63, BORDEAUX,229900
513,appartement,5,4,116, BLANQUEFORT,325500
514,appartement,1900,7,196, BORDEAUX,735000
515,maison,1900,4,115, BORDEAUX,577000
516,appartement,1,1,28, ARES,114000
517,maison,6,3,197, LIBOURNE,630000
518,appartement,4,2,81, BORDEAUX,265000
519,maison,1987,4,103, LA TESTE DE BUCH,448000
520,maison,1954,5,111, EYSINES,399000
521,maison,1930,7,140, BORDEAUX,610000
522,maison,1975,6,132, ARES,452500
523,appartement,2021,5,130, EYSINES,464000
524,appartement,2021,4,87, EYSINES,331000
525,appartement,2,1,54, BORDEAUX,180000
526,maison,4,3,193, ABZAC,192000
527,maison,1973,5,99, NAUJAC SUR MER,225000
528,maison,4,3,126, LANGON,215000
529,maison,1930,5,110, BORDEAUX,479900
530,maison,4,2,80, CADAUJAC,335000
531,maison,3,2,65, TOULENNE,142000
532,appartement,1965,4,80, BORDEAUX,352000
533,appartement,2020,3,73, LE BOUSCAT,377000
534,appartement,2020,4,81, BORDEAUX,321000
535,appartement,2019,3,62, VILLENAVE D ORNON,260000
536,maison,5,4,108, GRADIGNAN,475500
537,appartement,5,4,121, BORDEAUX,630000
538,maison,8,3,1634, SALLES,987000
539,maison,4,3,122, BORDEAUX,651000
540,appartement,3,2,60, BORDEAUX,352500
541,appartement,3,2,58, BORDEAUX,348000
542,maison,4,3,138, AUDENGE,399000
543,maison,2013,4,112, LES SALLES DE CASTILLON,228000
544,maison,3,2,90, FRONSAC,191000
545,maison,6,5,175, LIBOURNE,585000
546,appartement,4,2,108, BORDEAUX,592000
547,maison,5,4,200, MERIGNAS,191500
548,maison,1900,7,193, TALENCE,575000
549,maison,8,4,250, PONDAURAT,396500
550,appartement,2021,4,90, MERIGNAC,446000
551,appartement,2020,4,84, BRUGES,317000
552,appartement,4,3,123, BORDEAUX,659000
553,appartement,3,2,62, MARCHEPRIME,189000
554,maison,2003,4,50, SOULAC SUR MER,140700
555,appartement,1964,3,55, BORDEAUX,185000
556,appartement,1964,3,55, BORDEAUX,185000
557,maison,1900,3,87, ST YZANS DE MEDOC,40000
558,maison,1989,5,181, ORDONNAC,220000
559,maison,1974,7,300, ARCACHON,2450000
560,maison,1900,4,77, PODENSAC,120000
561,appartement,2020,4,81, BORDEAUX,357990
562,maison,2007,4,77, SOULAC SUR MER,165000
563,appartement,2,1,28, LACANAU OCEAN                   ,93000
564,maison,2,1,31, LACANAU OCEAN                   ,148000
565,maison,2000,5,150, GAILLAN EN MEDOC,285000
566,maison,1950,6,182, VENSAC,109000
