,id,type_de_bien,année,nb_de_pieces,surface,ville,prix
1115,2253,maison,1900.0,5,115, BORDEAUX,735000
1116,2254,maison,2006.0,4,76, BIGANOS,291500
1117,2262,maison,1990.0,7,145, BORDEAUX,472000
1118,2263,maison,1974.0,10,196, LE TEICH,595000
1119,2265,maison,1992.0,6,160, ST AUBIN DE MEDOC,375000
1120,2266,maison,1990.0,3,56, LE TAILLAN MEDOC,199000
1121,2267,maison,1880.0,6,210, LANGON,299000
1122,2268,maison,1955.0,2,71, LANTON,279500
1123,2270,maison,2019.0,5,108, LIBOURNE,304000
1124,2271,maison,1900.0,8,210, BORDEAUX,1522000
1125,2272,appartement,2019.0,4,88, BORDEAUX,319000
1126,2278,maison,2000.0,5,151, CIVRAC DE BLAYE,279900
1127,2279,maison,1988.0,5,135, LE HAILLAN,377000
1128,2282,appartement,2009.0,3,66, BORDEAUX,262000
1129,2284,maison,2008.0,7,225, SALLES,682000
1130,2285,maison,1900.0,5,114, BORDEAUX,720000
1131,2286,maison,1975.0,3,59, LIBOURNE,144000
1132,2288,maison,1975.0,8,206, CAZAUX                          ,470000
1133,2290,maison,1900.0,8,190, BARSAC,248200
1134,2292,maison,1870.0,7,87, SOULAC SUR MER,315600
1135,2293,appartement,2002.0,3,52, SOULAC SUR MER,199500
1136,2294,maison,1931.0,3,81, GUJAN MESTRAS,398500
1137,2298,appartement,1900.0,5,157, BORDEAUX,922000
1138,2299,appartement,2019.0,1,28, CASTETS EN DORTHE,99000
1139,2301,maison,2011.0,6,195, BORDEAUX,374500
1140,2303,maison,2008.0,5,170, BIGANOS,520000
1141,2309,appartement,1978.0,1,30, BORDEAUX,118000
1142,2310,appartement,1990.0,4,83, BORDEAUX,342000
1143,2317,appartement,1900.0,3,50, BORDEAUX,253000
1144,2322,maison,1810.0,3,75, BORDEAUX,357000
1145,2323,appartement,1991.0,3,72, TALENCE,220000
1146,2325,maison,2015.0,6,141, ST JEAN D ILLAC,710000
1147,2326,maison,2003.0,7,207, LA TESTE DE BUCH,1300000
1148,2327,maison,2018.0,5,100, MIOS,347000
1149,2328,maison,1900.0,10,340, ST EMILION,294000
1150,2329,appartement,2020.0,3,71, ST CAPRAIS DE BORDEAUX,229000
1151,2331,appartement,2009.0,2,32, CAMBES,87000
1152,2332,maison,1880.0,3,65, LESTIAC SUR GARONNE,169800
1153,2344,appartement,1981.0,3,43, SOULAC SUR MER,159000
1154,2345,maison,1800.0,14,462, ISLE ST GEORGES,850000
1155,2347,maison,1980.0,3,40, LACANAU OCEAN                   ,160000
1156,2349,maison,1987.0,6,110, LANGON,238000
1157,2350,maison,1978.0,4,79, LANTON,349000
1158,2354,appartement,2010.0,3,63, ST SULPICE ET CAMEYRAC,155000
1159,2358,maison,1980.0,6,210, YVRAC,467000
1160,2359,maison,2015.0,6,134, GUJAN MESTRAS,714000
1161,2360,maison,2001.0,8,175, LA TESTE DE BUCH,670000
1162,2361,maison,1930.0,2,80, BORDEAUX,193500
1163,2362,maison,1777.0,11,361, ST ANDRE DE CUBZAC,315000
1164,2392,maison,1786.0,8,280, ST MICHEL DE FRONSAC,449000
1165,2393,maison,1830.0,9,300, LIBOURNE,884000
1166,2394,appartement,1960.0,4,81, BORDEAUX,452000
1167,2399,maison,2011.0,7,182, HOURTIN,483000
1168,2400,maison,1970.0,5,60, HOURTIN,265000
1169,2402,maison,1995.0,4,100, BLANQUEFORT,407000
1170,2403,appartement,2017.0,3,69, PESSAC,299000
1171,2405,maison,2000.0,7,230, GUJAN MESTRAS,869000
1172,2406,maison,2001.0,5,141, SALLES,377000
1173,2408,appartement,1968.0,7,145, BORDEAUX,588000
1174,2409,maison,2000.0,5,135, AMBARES ET LAGRAVE,335000
1175,2410,maison,1987.0,7,120, CROIGNON,299000
1176,2411,maison,1980.0,6,150, ANDERNOS LES BAINS,679000
1177,2412,appartement,2021.0,5,125, BORDEAUX,720000
1178,2417,maison,1997.0,4,100, ANDERNOS LES BAINS,359000
1179,2419,maison,1900.0,10,235, LIBOURNE,399000
1180,2420,maison,1900.0,11,261, LIBOURNE,550000
1181,2421,maison,1900.0,7,208, ST EMILION,559000
1182,2424,maison,2000.0,6,149, GUJAN MESTRAS,724500
1183,2426,maison,1930.0,5,148, BORDEAUX,599000
1184,2429,maison,1900.0,7,110, BORDEAUX,555000
1185,2431,maison,1985.0,6,169, GUJAN MESTRAS,555000
1186,2433,maison,1900.0,2,40, TALENCE,466400
1187,2434,appartement,2016.0,2,47, LORMONT,147000
1188,2435,maison,1982.0,3,91, LANTON,363800
1189,2436,maison,2016.0,4,101, LA TESTE DE BUCH,499500
1190,2437,maison,1900.0,3,107, LESPARRE MEDOC,60000
1191,2438,maison,2020.0,2,49, ANDERNOS LES BAINS,240075
1192,2440,maison,1850.0,7,227, LA REOLE,243000
1193,2441,maison,1998.0,6,154, LE BARP,426000
1194,2443,maison,2012.0,4,90, ANDERNOS LES BAINS,380000
1195,2444,appartement,2014.0,3,68, BORDEAUX,243000
1196,2447,maison,2004.0,5,145, BORDEAUX,710600
1197,2448,maison,1981.0,7,180, ANDERNOS LES BAINS,528000
1198,2450,maison,2012.0,4,140, BORDEAUX,529000
1199,2452,maison,2002.0,3,120, EYSINES,150000
1200,2453,maison,1952.0,6,125, MERIGNAC,750750
1201,2463,appartement,1800.0,2,43, BORDEAUX,181600
1202,2464,appartement,2019.0,3,62, BORDEAUX,294000
1203,2465,appartement,2007.0,2,45, BARSAC,82800
1204,2466,maison,2011.0,4,88, AVENSAN,211000
1205,2467,appartement,1900.0,3,66, BORDEAUX,395000
1206,2468,maison,1996.0,3,70, LIBOURNE,172500
1207,2469,maison,1974.0,5,130, COUTRAS,346000
1208,2470,maison,1984.0,4,124, IZON,320700
1209,2471,maison,2013.0,4,110, ANDERNOS LES BAINS,509250
